date,game_name,appid,positive_rate,negative_rate,review_volume
2026-06-04,Hades II,1145350,0.86,0.14,615
2026-06-05,Hades II,1145350,0.87,0.13,642
2026-06-06,Hades II,1145350,0.88,0.12,684
2026-06-07,Hades II,1145350,0.87,0.13,702
2026-06-08,Hades II,1145350,0.89,0.11,731
2026-06-09,Hades II,1145350,0.90,0.10,756
2026-06-10,Hades II,1145350,0.89,0.11,781
2026-06-11,Hades II,1145350,0.90,0.10,798
2026-06-12,Hades II,1145350,0.91,0.09,816
2026-06-13,Hades II,1145350,0.90,0.10,835
2026-06-14,Hades II,1145350,0.92,0.08,846
2026-06-15,Hades II,1145350,0.91,0.09,862
2026-06-16,Hades II,1145350,0.92,0.08,875
2026-06-17,Hades II,1145350,0.93,0.07,889
2026-06-18,Hades II,1145350,0.91,0.09,903
2026-06-19,Hades II,1145350,0.90,0.10,912
2026-06-20,Hades II,1145350,0.91,0.09,930
2026-06-21,Hades II,1145350,0.92,0.08,948
2026-06-22,Hades II,1145350,0.91,0.09,967
2026-06-23,Hades II,1145350,0.92,0.08,982
2026-06-24,Hades II,1145350,0.93,0.07,994
2026-06-25,Hades II,1145350,0.91,0.09,1006
2026-06-26,Hades II,1145350,0.92,0.08,1024
2026-06-27,Hades II,1145350,0.91,0.09,1042
2026-06-28,Hades II,1145350,0.93,0.07,1060
2026-06-29,Hades II,1145350,0.92,0.08,1084
2026-06-30,Hades II,1145350,0.91,0.09,1102
2026-07-01,Hades II,1145350,0.92,0.08,1128
2026-07-02,Hades II,1145350,0.91,0.09,1140
2026-07-03,Hades II,1145350,0.92,0.08,1162
2026-06-04,Cities: Skylines II,949230,0.62,0.38,412
2026-06-05,Cities: Skylines II,949230,0.61,0.39,430
2026-06-06,Cities: Skylines II,949230,0.60,0.40,456
2026-06-07,Cities: Skylines II,949230,0.59,0.41,488
2026-06-08,Cities: Skylines II,949230,0.58,0.42,502
2026-06-09,Cities: Skylines II,949230,0.57,0.43,540
2026-06-10,Cities: Skylines II,949230,0.56,0.44,588
2026-06-11,Cities: Skylines II,949230,0.54,0.46,630
2026-06-12,Cities: Skylines II,949230,0.55,0.45,612
2026-06-13,Cities: Skylines II,949230,0.53,0.47,660
2026-06-14,Cities: Skylines II,949230,0.52,0.48,704
2026-06-15,Cities: Skylines II,949230,0.50,0.50,755
2026-06-16,Cities: Skylines II,949230,0.49,0.51,802
2026-06-17,Cities: Skylines II,949230,0.48,0.52,835
2026-06-18,Cities: Skylines II,949230,0.47,0.53,876
2026-06-19,Cities: Skylines II,949230,0.48,0.52,846
2026-06-20,Cities: Skylines II,949230,0.46,0.54,915
2026-06-21,Cities: Skylines II,949230,0.45,0.55,966
2026-06-22,Cities: Skylines II,949230,0.47,0.53,932
2026-06-23,Cities: Skylines II,949230,0.46,0.54,988
2026-06-24,Cities: Skylines II,949230,0.45,0.55,1004
